codigo_cliente;nome_cliente;idade_cliente;email_cliente
32;"Aaron C. Buckner";18;Aenean@aliquet.com
14;"Acton Gamble";34;tincidunt.adipiscing@eu.edu
101;"Adrian Cantu";80;porttitor.tellus.non@sollicitudin.edu
42;"Alden Fletcher";94;eros.Proin@idblandit.co.uk
25;"Alyssa Duncan";85;porttitor@orci.com
88;"Amy Keith";33;Vivamus.rhoncus.Donec@magnis.net
19;"Aspen Sanford";64;Etiam@enimgravida.ca
104;"Audrey U. Francis";39;turpis@FuscemollisDuis.com
102;"Barrett Z. Beach";73;sollicitudin.adipiscing.ligula@adipiscinglacus.org
83;"Bell B. Allison";61;Integer.mollis.Integer@ProinultricesDuis.org
51;"Boris T. Torres";27;et@vulputatenisi.ca
27;"Bree Hampton";45;et@eratEtiamvestibulum.com
78;"Buffy M. Russell";73;elit.Nulla.facilisi@bibendumDonecfelis.org
21;"Buffy P. Kim";55;felis@magna.org
84;"Cairo W. Pennington";35;Aliquam.erat.volutpat@Aliquamultrices.org
20;"Camden K. Maddox";63;auctor.ullamcorper@loremsemper.ca
94;"Cameran O. Boone";66;mi.Aliquam.gravida@PhasellusornareFusce.edu
85;"Carly A. Saunders";21;Nullam@metus.co.uk
38;"Cathleen Garner";84;dictum.augue.malesuada@arcuSed.co.uk
54;"Chase E. Parrish";21;ultrices@odiosemper.com
40;"Chester E. Maynard";94;eget.metus.eu@aliquetdiam.org
80;"Colton K. George";31;Nulla.tincidunt.neque@mattisInteger.org
58;"Damon N. Mullen";80;egestas@augueeutellus.net
89;"Darius W. Serrano";20;mollis.Integer.tincidunt@elit.net
60;"Dieter Everett";98;aliquet.magna@diam.edu
91;"Dillon Perez";27;venenatis.vel.faucibus@aliquam.net
86;"Donovan Coleman";61;ac@interdum.ca
11;"Felicia Hess";88;fringilla.purus@ametconsectetuer.co.uk
47;"Felix Wallace";83;magna@elit.co.uk
29;"Gabriel E. Gross";76;eget@diamPellentesquehabitant.net
61;"Hall Gillespie";83;ante@elit.org
22;"India Snyder";73;Curabitur@egetmetuseu.net
37;"Isabelle Jacobs";68;adipiscing.non@tortorIntegeraliquam.net
93;"Isadora Crosby";85;volutpat.Nulla@acturpisegestas.org
8;"Ivor W. Nolan";40;Duis.a@sit.com
16;"Ivy Gibbs";60;leo.Cras.vehicula@gravida.com
43;"Jack J. Higgins";36;odio.Etiam@sociosquad.org
97;"Jackson Mckinney";97;justo.Proin.non@mifelisadipiscing.co.uk
24;"Jakeem Merritt";36;urna.Ut@sitametrisus.ca
12;"Jana Morton";50;nec.enim.Nunc@etliberoProin.co.uk
62;"Janna Copeland";19;mattis@diamluctus.org
53;"Jorden Sykes";80;risus.at@nonlaciniaat.com
52;"Joshua X. Whitfield";76;sollicitudin.a@tempor.co.uk
55;"Judith S. Mann";22;arcu@placeratCras.com
79;"Julie N. Mendoza";65;interdum.ligula@tempus.co.uk
